query,trial,cpu_time_s
surgeries_by_type,6,6.32080000000021e-05
surgeries_by_type,7,6.741999999999859e-05
surgeries_by_type,8,6.553999999999588e-05
surgeries_by_type,9,6.841999999999959e-05
surgeries_by_type,10,2.4548000000006176e-05
surgeries_by_type,11,2.0499999999999685e-05
surgeries_by_type,12,1.987200000000411e-05
surgeries_by_type,13,1.7915999999999765e-05
surgeries_by_type,14,1.7291999999995145e-05
surgeries_by_type,15,1.69200000000036e-05
surgeries_by_type,16,1.6831999999994407e-05
surgeries_by_type,17,1.61680000000039e-05
surgeries_by_type,18,3.32960000000021e-05
surgeries_by_type,19,2.4960000000004423e-05
surgeries_by_type,20,1.9999999999992246e-05
surgeries_by_type,21,2.9875999999998126e-05
surgeries_by_type,22,2.1668000000002463e-05
surgeries_by_type,23,1.6380000000003336e-05
surgeries_by_type,24,1.6208000000003664e-05
surgeries_by_type,25,3.737600000000563e-05
surgeries_by_type,26,2.5584000000002105e-05
surgeries_by_type,27,1.9959999999999423e-05
surgeries_by_type,28,2.249600000000379e-05
surgeries_by_type,29,1.9459999999998923e-05
surgeries_by_type,30,1.6507999999998413e-05
surgeries_by_type,31,1.6248000000003426e-05
surgeries_by_type,32,2.042000000000016e-05
surgeries_by_type,33,1.879599999999454e-05
surgeries_by_type,34,1.79200000000046e-05
surgeries_by_type,35,2.1248000000001488e-05
surgeries_by_type,36,1.6915999999991826e-05
surgeries_by_type,37,1.6251999999994382e-05
surgeries_by_type,38,1.828800000000519e-05
surgeries_by_type,39,1.7247999999997488e-05
surgeries_by_type,40,1.6999999999996185e-05
surgeries_by_type,41,1.721199999999562e-05
surgeries_by_type,42,1.6663999999999568e-05
surgeries_by_type,43,1.6540000000002386e-05
surgeries_by_type,44,1.6459999999995922e-05
surgeries_by_type,45,1.6375999999998503e-05
surgeries_by_type,46,1.9375999999994564e-05
surgeries_by_type,47,2.0459999999999923e-05
surgeries_by_type,48,1.6083999999999543e-05
surgeries_by_type,49,1.612000000000141e-05
surgeries_by_type,50,1.8539999999997447e-05
surgeries_by_type,51,1.9748000000006927e-05
surgeries_by_type,52,1.9040000000004886e-05
surgeries_by_type,53,1.966399999999563e-05
surgeries_by_type,54,1.862800000000664e-05
surgeries_by_type,55,1.754400000000128e-05
surgeries_by_type,56,1.6999999999996185e-05
surgeries_by_type,57,1.666399999999263e-05
surgeries_by_type,58,1.6504000000000518e-05
surgeries_by_type,59,1.683599999999924e-05
surgeries_by_type,60,1.66680000000044e-05
surgeries_by_type,61,1.81279999999992e-05
surgeries_by_type,62,1.737199999999467e-05
surgeries_by_type,63,1.729599999999304e-05
surgeries_by_type,64,1.6832000000001346e-05
surgeries_by_type,65,1.7376000000006442e-05
surgeries_by_type,66,1.69200000000036e-05
surgeries_by_type,67,1.6504000000007457e-05
surgeries_by_type,68,1.66680000000044e-05
surgeries_by_type,69,1.621200000000156e-05
surgeries_by_type,70,1.8543999999988403e-05
surgeries_by_type,71,1.66279999999977e-05
surgeries_by_type,72,1.6459999999995922e-05
surgeries_by_type,73,1.621200000000156e-05
surgeries_by_type,74,1.762800000000564e-05
surgeries_by_type,75,1.8084000000008482e-05
surgeries_by_type,76,1.679599999999254e-05
surgeries_by_type,77,1.9792000000004584e-05
surgeries_by_type,78,1.675200000000182e-05
surgeries_by_type,79,1.86279999999997e-05
surgeries_by_type,80,1.720399999999983e-05
surgeries_by_type,81,1.8791999999996645e-05
surgeries_by_type,82,2.0588000000001938e-05
surgeries_by_type,83,1.908000000000465e-05
surgeries_by_type,84,1.7208000000004664e-05
surgeries_by_type,85,1.7084000000000543e-05
surgeries_by_type,86,1.8543999999995342e-05
surgeries_by_type,87,1.8416000000000265e-05
surgeries_by_type,88,1.9748000000006927e-05
surgeries_by_type,89,1.6499999999995685e-05
surgeries_by_type,90,1.7708000000005164e-05
surgeries_by_type,91,1.7707999999998225e-05
surgeries_by_type,92,1.754400000000128e-05
surgeries_by_type,93,1.7459999999996922e-05
surgeries_by_type,94,1.7584000000001043e-05
surgeries_by_type,95,2.2292000000007084e-05
surgeries_by_type,96,1.7916000000006704e-05
surgeries_by_type,97,1.7584000000001043e-05
surgeries_by_type,98,1.7292000000009022e-05
surgeries_by_type,99,1.7251999999995382e-05
