query,trial,cpu_time_s
patients_by_gender,86,1.2088000000000376e-05
patients_by_gender,87,1.1874000000001994e-05
patients_by_gender,88,7.637599999999953e-05
patients_by_gender,89,1.2291999999993614e-05
patients_by_gender,90,1.233599999999474e-05
patients_by_gender,91,1.1919999999998598e-05
patients_by_gender,92,1.2875999999998472e-05
patients_by_gender,93,1.2207999999996194e-05
patients_by_gender,94,1.2204000000001769e-05
patients_by_gender,95,1.2373999999995555e-05
patients_by_gender,96,1.1874000000008933e-05
patients_by_gender,97,1.1627999999999639e-05
patients_by_gender,98,1.1875999999997472e-05
patients_by_gender,99,1.196000000000183e-05
surgeries_by_type,0,2.3749999999995997e-05
surgeries_by_type,1,1.7500000000000154e-05
surgeries_by_type,2,1.8667999999999463e-05
surgeries_by_type,3,1.8542000000003334e-05
surgeries_by_type,4,1.8876000000001003e-05
surgeries_by_type,5,1.6584000000000043e-05
surgeries_by_type,6,1.7750000000000404e-05
surgeries_by_type,7,2.2499999999994746e-05
surgeries_by_type,8,1.7623999999993867e-05
surgeries_by_type,9,8.766599999999666e-05
surgeries_by_type,10,2.4832000000005877e-05
surgeries_by_type,11,2.2207999999999256e-05
surgeries_by_type,12,1.7791999999995645e-05
surgeries_by_type,13,1.7125999999999253e-05
surgeries_by_type,14,1.76680000000054e-05
surgeries_by_type,15,1.7417999999994743e-05
surgeries_by_type,16,1.725200000000579e-05
surgeries_by_type,17,1.708799999999497e-05
surgeries_by_type,18,1.7122000000004828e-05
surgeries_by_type,19,1.7459999999996922e-05
surgeries_by_type,20,1.616399999999213e-05
surgeries_by_type,21,1.6001999999987193e-05
surgeries_by_type,22,1.5667999999989524e-05
surgeries_by_type,23,1.575200000000082e-05
surgeries_by_type,24,1.5707999999999694e-05
surgeries_by_type,25,1.5708000000003164e-05
surgeries_by_type,26,1.6584000000000043e-05
surgeries_by_type,27,1.7833999999994354e-05
surgeries_by_type,28,1.7125999999995783e-05
surgeries_by_type,29,1.6957999999997475e-05
surgeries_by_type,30,1.641800000000762e-05
surgeries_by_type,31,1.7332000000001846e-05
surgeries_by_type,32,2.2209999999994734e-05
surgeries_by_type,33,1.6375999999995033e-05
surgeries_by_type,34,1.721199999999909e-05
surgeries_by_type,35,1.7248000000007896e-05
surgeries_by_type,36,1.7166000000005954e-05
surgeries_by_type,37,1.725200000000232e-05
surgeries_by_type,38,1.7081999999998126e-05
surgeries_by_type,39,1.7207999999997725e-05
surgeries_by_type,40,1.8499999999994216e-05
surgeries_by_type,41,1.9168000000006902e-05
surgeries_by_type,42,1.7541999999995395e-05
surgeries_by_type,43,1.8248000000012365e-05
surgeries_by_type,44,1.7831999999995407e-05
surgeries_by_type,45,3.1584000000008106e-05
surgeries_by_type,46,2.4958000000012415e-05
surgeries_by_type,47,2.1292000000002614e-05
surgeries_by_type,48,1.9168000000006902e-05
surgeries_by_type,49,2.1083999999994135e-05
surgeries_by_type,50,1.845400000000802e-05
surgeries_by_type,51,1.7915999999999765e-05
surgeries_by_type,52,1.7456000000005967e-05
surgeries_by_type,53,1.7457999999987567e-05
surgeries_by_type,54,1.7456000000005967e-05
surgeries_by_type,55,1.7497999999997738e-05
